1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.02
10,0.02
11,0.02
12,0.02
13,0.02
14,0.02
15,0.02
16,0.03
17,0.03
18,0.03
19,0.03
20,0.03
21,0.04
22,0.04
23,0.04
24,0.05
25,0.05
26,0.05
27,0.06
28,0.06
29,0.07
30,0.07
31,0.08
32,0.08
33,0.09
34,0.1
35,0.1
36,0.11
37,0.12
38,0.13
39,0.14
40,0.15
41,0.16
42,0.17
43,0.19
44,0.21
45,0.22
46,0.24
47,0.25
48,0.27
49,0.29
50,0.32
51,0.34
52,0.37
53,0.4
54,0.43
55,0.46
56,0.49
57,0.53
58,0.57
59,0.62
60,0.66
61,0.72
62,0.77
63,0.83
64,0.89
65,0.96
66,1.04
67,1.12
68,1.2
69,1.29
70,1.39
71,1.5
72,1.62
73,1.74
74,1.87
75,2.02
76,2.17
77,2.34
78,2.52
79,2.71
80,2.92
81,3.15
82,3.39
83,3.65
84,3.93
85,4.23
86,4.56
87,4.91
88,5.29
89,5.7
90,6.13
91,6.6
92,7.11
93,7.66
94,8.25
95,8.88
96,9.57
97,10.3
98,11.09
99,11.95
100,12.87
101,13.86
102,14.92
103,16.07
104,17.31
105,18.64
106,20.07
107,21.62
108,23.28
109,25.07
110,27
111,29.08
112,31.31
113,33.72
114,36.32
115,39.11
116,42.12
117,45.36
118,48.85
119,52.6
120,56.65
121,61.01
122,65.7
123,70.75
124,76.2
125,82.06
126,88.37
127,95.17
128,102.49
129,110.37
130,118.86
131,128.01
132,137.85
133,148.46
134,159.88
135,172.18
136,185.42
137,199.68
138,215.04
139,231.58
140,249.4
141,268.58
142,289.24
143,311.49
144,335.45
145,361.26
146,389.05
147,418.97
148,451.2
149,485.91
150,523.29
